S. No.,District,Village,Ownership,Area,Lat ,Long
1,East_Delhi,Chandrawli shahdarra,DDA,,28.670635,77.2922264
2,East_Delhi,Chilla saroda khaddar,BDO,,28.59208,77.2980842
3,East_Delhi,Chilla saroda Banger,DDA,,28.5928267,77.2995953
4,East_Delhi,"Dallu pura (4)
(1) DVB-BDO
(2) DP-BDO",DDA,15900,28.6033889,77.3228011
5,East_Delhi,"Gharoli (7) (a) to
(d) and (e) to (g)",DDA,14382,28.6155653,77.3291053
6,East_Delhi,Gharonda neemka khadar,BDO,,28.6049611,77.2894778
7,East_Delhi,Gharonda neemka nangar,DDA,,0,0
8,East_Delhi,Gharoda neemka bhangar,DDA,1896.975,28.6135581,77.2886281
9,East_Delhi,"Ghazipur F/74(4)
(1) Bus Stand
(2) Ench villagers
(3) Alloted to Delhi agricultute marketing board (1 to 3 allotted by BDO)",DDA,15000,28.63624,77.320675
10,East_Delhi,"Ghazipur F/74(4)
(1) Bus Stand
(2) Ench villagers
(3) Alloted to Delhi agricultute marketing board (1 to 3 allotted by BDO)",DDA,6620,28.6330528,77.3223125
11,East_Delhi,"Ghazipur F/74(4)
(1) Bus Stand
(2) Ench villagers
(3) Alloted to Delhi agricultute marketing board (1 to 3 allotted by BDO)",DDA,6200,28.6331472,77.3221611
12,East_Delhi,"Ghazipur F/74(4)
(1) Bus Stand
(2) Ench villagers
(3) Alloted to Delhi agricultute marketing board (1 to 3 allotted by BDO)",MCD,379.395,28.63505,77.3206028
13,East_Delhi,"Ghazipur F/74(4)
(1) Bus Stand
(2) Ench villagers
(3) Alloted to Delhi agricultute marketing board (1 to 3 allotted by BDO)",DDA,2318.525,28.6294044,77.3054289
14,East_Delhi,"Ghazipur F/74(4)
(1) Bus Stand
(2) Ench villagers
(3) Alloted to Delhi agricultute marketing board (1 to 3 allotted by BDO)",DDA,3793.95,28.6266361,77.3240842
15,East_Delhi,Hasanpur F/74,DDA,,28.6352881,77.3077292
16,East_Delhi,Kondli WB Under the possession MCD staff quarters,DJB,1011.72,28.6123594,77.3126489
17,East_Delhi,Kondli WB Under the possession MCD staff quarters,DJB,2529.3,28.6151047,77.3243656
19,East_Delhi,Kaithwara F/66,DDA,,28.8068914,76.9777078
20,East_Delhi,Karkarduma F/74(2),DDA,1600,28.6635967,77.3025325
21,East_Delhi,Karkarduma F/74(2),DDA,3500,28.6491211,77.3040511
22,East_Delhi,Khichripur F/74 (4),DDA,1875,28.6224936,77.3152781
23,East_Delhi,Khichripur F/74 (4),DDA,1500,28.6240678,77.31275
24,East_Delhi,Khichripur F/74 (4),DDA,1000,28.6151272,77.3058364
25,East_Delhi,Khureji Khas F/74(3)W.B.,DDA,1601.89,28.7119542,77.25264
26,East_Delhi,Khureji Khas F/74(3)W.B.,DDA,1686.2,28.710135,77.25201
27,East_Delhi,Khureji Khas F/74(3)W.B.,DDA,3456.71,28.7099028,77.2514581
28,East_Delhi,Kotla F/89,DDA,1686.2,28.6096158,77.2942589
29,East_Delhi,Mandawali Fazilpur,MCD,25293,28.6298442,77.2958528
